,id,pt_root_id,pt_position,timestamp,layer,cell_polarity,subclass,pre_syn_count,post_syn_count,unique_pre_syn_target_count,unique_post_syn_target_count,DOM_labels
216,389974,864691135660752368,[235120  97584  26939],2022-06-09 14:30:32.002707,L1,excitatory,23P,110.0,2597.0,96.0,2420.0,1
219,452468,864691135345156767,[272128 103232  20186],2022-06-09 14:30:32.002707,L1,excitatory,23P,35.0,4132.0,30.0,3782.0,1
226,485470,864691136123688230,[285296 105872  19328],2022-06-09 14:30:32.002707,L1,excitatory,23P,160.0,2412.0,140.0,2298.0,1
227,515992,864691136545683362,[310096  91216  21026],2022-06-09 14:30:32.002707,L1,inhibitory,23P,59.0,1630.0,41.0,1511.0,1
228,291412,864691137196890433,[192464 100368  23338],2022-06-09 14:30:32.002707,L1,excitatory,23P,65.0,3118.0,51.0,2942.0,1
229,580670,864691135472053554,[334800 104992  16088],2022-06-09 14:30:32.002707,L1,excitatory,23P,88.0,5653.0,74.0,5016.0,1
230,608042,864691135210039232,[359472  97344  16554],2022-06-09 14:30:32.002707,L1,excitatory,23P,33.0,1675.0,27.0,1523.0,1
231,550943,864691135739193748,[321984  91904  23031],2022-06-09 14:30:32.002707,L1,inhibitory,BC,4335.0,5934.0,2529.0,5629.0,1
233,636527,864691135715501338,[367456  87840  24484],2022-06-09 14:30:32.002707,L1,excitatory,23P,27.0,3041.0,22.0,2829.0,1
245,516371,864691136000086730,[305504  89488  26856],2022-06-09 14:30:32.002707,L1,inhibitory,NGC,461.0,2043.0,401.0,1927.0,1
